PassengerId,Survived,Sex,Age,FareLog,Title,Pclass,HasCabin,FamilySize,Embarked
249,1,male,37.0,3.9806942251907276,Mr,1,1,3,S
250,0,male,54.0,3.295836866004329,Rare,2,0,2,S
251,0,male,25.0,2.1102132003465894,Mr,3,0,1,S
252,0,female,29.0,2.4390808375825834,Mrs,3,1,3,S
253,0,male,62.0,3.3160025355989236,Mr,1,1,1,S
254,0,male,30.0,2.8390784635086144,Mr,3,0,2,S
255,0,female,41.0,3.0545906305603445,Mrs,3,0,3,S
256,1,female,29.0,2.7878344138303452,Mrs,3,0,3,C
257,1,female,35.0,4.384523514872469,Mrs,1,0,1,C
258,1,female,30.0,4.471638793363569,Miss,1,1,1,S
259,1,female,35.0,6.240917354759096,Miss,1,0,1,C
260,1,female,50.0,3.295836866004329,Mrs,2,0,2,S
261,0,male,25.0,2.169053700369523,Mr,3,0,1,Q
262,1,male,3.0,3.4777725458882283,Master,3,0,7,S
263,0,male,52.0,4.390118804571218,Mr,1,1,3,S
264,0,male,40.0,0.0,Mr,1,1,1,S
265,0,female,21.5,2.169053700369523,Miss,3,0,1,Q
266,0,male,36.0,2.4423470353692043,Mr,2,0,1,S
267,0,male,16.0,3.705920919968788,Mr,3,0,6,S
268,1,male,25.0,2.1719067693519296,Mr,3,0,2,S
269,1,female,58.0,5.039951348430309,Mrs,1,1,2,S
270,1,female,35.0,4.91730069488021,Miss,1,1,1,S
271,0,male,40.0,3.4657359027997265,Mr,1,0,1,S
272,1,male,25.0,0.0,Mr,3,0,1,S
273,1,female,41.0,3.0204248861443626,Mrs,2,0,2,S
274,0,male,37.0,3.4242626545931514,Mr,1,1,2,C
275,1,female,21.5,2.169053700369523,Miss,3,0,1,Q
276,1,female,63.0,4.368919865004903,Miss,1,1,2,S
277,0,female,45.0,2.169053700369523,Miss,3,0,1,S
278,0,male,30.0,0.0,Mr,2,0,1,S
279,0,male,7.0,3.405355391810819,Master,3,0,6,Q
280,1,female,35.0,3.056356895370426,Mrs,3,0,3,S
281,0,male,65.0,2.169053700369523,Mr,3,0,1,Q
282,0,male,28.0,2.180891922715322,Mr,3,0,1,S
283,0,male,16.0,2.3513752571634776,Mr,3,0,1,S
284,1,male,19.0,2.2027647577118348,Mr,3,0,1,S
285,0,male,40.0,3.295836866004329,Mr,1,1,1,S
286,0,male,33.0,2.2682524139135403,Mr,3,0,1,C
287,1,male,30.0,2.3513752571634776,Mr,3,0,1,S
288,0,male,22.0,2.1855792552411137,Mr,3,0,1,S
289,1,male,42.0,2.6390573296152584,Mr,2,0,1,S
290,1,female,22.0,2.169053700369523,Miss,3,0,1,Q
291,1,female,26.0,4.380149874661021,Miss,1,0,1,S
292,1,female,19.0,4.5226490762785785,Mrs,1,1,2,C
293,0,male,36.0,2.630088659632498,Mr,2,1,1,C
294,0,female,24.0,2.2874714551839976,Miss,3,0,1,S
295,0,male,24.0,2.1855792552411137,Mr,3,0,1,S
296,0,male,40.0,3.357621598945279,Mr,1,0,1,C
297,0,male,23.5,2.1076888046179385,Mr,3,0,1,C
298,0,female,2.0,5.027492411162679,Miss,1,1,4,S
299,1,male,40.0,3.449987545831587,Mr,1,1,1,S
300,1,female,50.0,5.515526544247129,Mrs,1,1,2,C
301,1,female,21.5,2.169053700369523,Miss,3,0,1,Q
302,1,male,25.0,3.188416617383492,Mr,3,0,3,Q
303,0,male,19.0,0.0,Mr,3,0,1,S
304,1,female,28.0,2.5915163848462583,Miss,2,1,1,Q
305,0,male,25.0,2.2027647577118348,Mr,3,0,1,S
306,1,male,0.92,5.027492411162679,Master,1,1,4,S
307,1,female,35.0,4.717456363787216,Miss,1,0,1,C
308,1,female,17.0,4.699570861409576,Mrs,1,1,2,C
309,0,male,30.0,3.2188758248682006,Mr,2,0,2,C
310,1,female,30.0,4.0592215752427645,Miss,1,1,1,C
311,1,female,24.0,4.432699549165613,Miss,1,1,1,C
312,1,female,18.0,5.5735788721243535,Miss,1,1,5,C
313,0,female,26.0,3.295836866004329,Mrs,2,0,3,S
314,0,male,28.0,2.1855792552411137,Mr,3,0,1,S
315,0,male,43.0,3.305053521109253,Mr,2,0,3,S
316,1,female,26.0,2.180891922715322,Miss,3,0,1,S
317,1,female,24.0,3.295836866004329,Mrs,2,0,2,S
318,0,male,54.0,2.70805020110221,Rare,2,0,1,S
319,1,female,31.0,5.11118445372147,Miss,1,1,3,S
320,1,female,40.0,4.908971640319756,Mrs,1,1,3,C
321,0,male,22.0,2.1102132003465894,Mr,3,0,1,S
322,0,male,27.0,2.1855792552411137,Mr,3,0,1,S
323,1,female,30.0,2.5915163848462583,Miss,2,0,1,Q
324,1,female,22.0,3.4011973816621555,Mrs,2,0,3,S
325,0,male,25.0,4.256321678298823,Mr,3,0,11,S
326,1,female,36.0,4.91730069488021,Miss,1,1,1,C
327,0,male,61.0,1.9792758428991135,Mr,3,0,1,S
328,1,female,36.0,2.6390573296152584,Mrs,2,1,1,S
329,1,female,31.0,3.0692150503137943,Mrs,3,0,3,S
330,1,female,16.0,4.077184839375167,Miss,1,1,2,C
331,1,female,21.5,3.188416617383492,Miss,3,0,3,Q
332,0,male,45.5,3.3843902633457743,Mr,1,1,1,S
333,0,male,38.0,5.039951348430309,Mr,1,1,2,S
334,0,male,16.0,2.9444389791664403,Mr,3,0,3,S
335,1,female,35.0,4.902678819257608,Mrs,1,0,2,S
336,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
337,0,male,29.0,4.213607983048918,Mr,1,1,2,S
338,1,female,41.0,4.908971640319756,Miss,1,1,1,C
339,1,male,45.0,2.2027647577118348,Mr,3,0,1,S
340,0,male,45.0,3.597312260588446,Mr,1,1,1,S
341,1,male,2.0,3.295836866004329,Master,2,1,3,S
342,1,female,24.0,5.575949103146316,Miss,1,1,6,S
343,0,male,28.0,2.6390573296152584,Mr,2,0,1,S
344,0,male,25.0,2.6390573296152584,Mr,2,0,1,S
345,0,male,36.0,2.6390573296152584,Mr,2,0,1,S
346,1,female,24.0,2.6390573296152584,Miss,2,1,1,S
347,1,female,40.0,2.6390573296152584,Miss,2,0,1,S
348,1,female,21.5,2.8390784635086144,Mrs,3,0,2,S
349,1,male,3.0,2.8273136219290276,Master,3,0,3,S
350,0,male,42.0,2.2682524139135403,Mr,3,0,1,S
351,0,male,23.0,2.3248357019288655,Mr,3,0,1,S
352,0,male,40.0,3.58351893845611,Mr,1,1,1,S
353,0,male,15.0,2.1076888046179385,Mr,3,0,3,C
354,0,male,25.0,2.9338568698359038,Mr,3,0,2,S
355,0,male,25.0,2.1071782966514356,Mr,3,0,1,C
356,0,male,28.0,2.3513752571634776,Mr,3,0,1,S
357,1,female,22.0,4.02535169073515,Miss,1,1,2,S
358,0,female,38.0,2.6390573296152584,Miss,2,0,1,S
359,1,female,21.5,2.1837114628556327,Miss,3,0,1,Q
360,1,female,21.5,2.1837114628556327,Miss,3,0,1,Q
361,0,male,40.0,3.3638415951183864,Mr,3,0,6,S
362,0,male,29.0,3.357621598945279,Mr,2,0,2,C
363,0,female,45.0,2.737880811060884,Mrs,3,0,2,C
364,0,male,35.0,2.0856720914304723,Mr,3,0,1,S
365,0,male,25.0,2.803360380906535,Mr,3,0,2,Q
366,0,male,30.0,2.1102132003465894,Mr,3,0,1,S
367,1,female,60.0,4.334017415487521,Mrs,1,1,2,C
368,1,female,21.5,2.1076888046179385,Mrs,3,0,1,C
369,1,female,21.5,2.169053700369523,Miss,3,0,1,Q
370,1,female,24.0,4.252771798816619,Mrs,1,1,1,C
371,1,male,25.0,4.0332082470129285,Mr,1,1,2,C
372,0,male,18.0,2.0143428636837015,Mr,3,0,2,S
373,0,male,19.0,2.2027647577118348,Mr,3,0,1,S
374,0,male,22.0,4.91730069488021,Mr,1,0,1,C
375,0,female,3.0,3.0944457464900235,Miss,3,0,5,S
376,1,female,35.0,4.420896324687287,Mrs,1,0,2,C
377,1,female,22.0,2.1102132003465894,Miss,3,0,1,S
378,0,male,27.0,5.358941988364472,Mr,1,1,3,C
379,0,male,20.0,1.6119347926326877,Mr,3,0,1,C
380,0,male,19.0,2.1719067693519296,Mr,3,0,1,S
381,1,female,42.0,5.4316456135398825,Miss,1,0,1,C
382,1,female,1.0,2.817902613071225,Miss,3,0,3,C
383,0,male,32.0,2.188856327665703,Mr,3,0,1,S
384,1,female,35.0,3.970291913552122,Mrs,1,0,2,S
385,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
386,0,male,18.0,4.310799125385514,Mr,2,0,1,S
387,0,male,1.0,3.8691155044168695,Master,3,0,8,S
388,1,female,36.0,2.6390573296152584,Miss,2,0,1,S
389,0,male,25.0,2.1666737276227077,Mr,3,0,1,Q
390,1,female,17.0,2.5649493574615367,Miss,2,0,1,C
391,1,male,36.0,4.795790545596741,Mr,1,1,4,S
392,1,male,21.0,2.174274334826008,Mr,3,0,1,S
393,0,male,28.0,2.188856327665703,Mr,3,0,3,S
394,1,female,23.0,4.738607824217808,Miss,1,1,2,C
395,1,female,24.0,2.8735646395797834,Mrs,3,1,3,S
396,0,male,22.0,2.174274334826008,Mr,3,0,1,S
397,0,female,31.0,2.180891922715322,Miss,3,0,1,S
398,0,male,46.0,3.295836866004329,Mr,2,0,1,S
399,0,male,23.0,2.4423470353692043,Rare,2,0,1,S
400,1,female,28.0,2.613739521630969,Mrs,2,0,1,S
401,1,male,39.0,2.188856327665703,Mr,3,0,1,S
402,0,male,26.0,2.2027647577118348,Mr,3,0,1,S
403,0,female,21.0,2.3818582738885534,Miss,3,0,2,S
404,0,male,28.0,2.8243506567983707,Mr,3,0,2,S
405,0,female,20.0,2.2682524139135403,Miss,3,0,1,S
406,0,male,34.0,3.091042453358316,Mr,2,0,2,S
407,0,male,51.0,2.169053700369523,Mr,3,0,1,S
408,1,male,3.0,2.9831534913471307,Master,2,0,3,S
409,0,male,21.0,2.1719067693519296,Mr,3,0,1,S
410,0,female,21.5,3.275887339030031,Miss,3,0,5,S
411,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
412,0,male,25.0,2.061570298060867,Mr,3,0,1,Q
413,1,female,33.0,4.51085950651685,Miss,1,1,2,Q
414,0,male,30.0,0.0,Mr,2,0,1,S
415,1,male,44.0,2.188856327665703,Mr,3,0,1,S
416,0,female,21.5,2.2027647577118348,Mrs,3,0,1,S
417,1,female,34.0,3.5115454388310208,Mrs,2,0,3,S
418,1,female,18.0,2.6390573296152584,Miss,2,0,3,S
419,0,male,30.0,2.6390573296152584,Mr,2,0,1,S
420,0,female,10.0,3.224857896545748,Miss,3,0,3,S
421,0,male,25.0,2.1855792552411137,Mr,3,0,1,C
422,0,male,21.0,2.167143305297764,Mr,3,0,1,Q
423,0,male,29.0,2.1832383353614797,Mr,3,0,1,S
424,0,female,28.0,2.7343675094195836,Mrs,3,0,3,S
425,0,male,18.0,3.0545906305603445,Mr,3,0,3,S
426,0,male,25.0,2.1102132003465894,Mr,3,0,1,S
427,1,female,28.0,3.295836866004329,Mrs,2,0,2,S
428,1,female,19.0,3.295836866004329,Miss,2,0,1,S
429,0,male,25.0,2.169053700369523,Mr,3,0,1,Q
430,1,male,32.0,2.2027647577118348,Mr,3,1,1,S
431,1,male,28.0,3.3160025355989236,Mr,1,1,1,S
432,1,female,21.5,2.8390784635086144,Mrs,3,0,2,S
433,1,female,42.0,3.295836866004329,Mrs,2,0,2,S
434,0,male,17.0,2.094945728215801,Mr,3,0,1,S
435,0,male,50.0,4.041295341132285,Mr,1,1,2,S
436,1,female,14.0,4.795790545596741,Miss,1,1,4,S
437,0,female,21.0,3.5660053559634015,Miss,3,0,5,S
438,1,female,24.0,2.9831534913471307,Mrs,2,0,6,S
439,0,male,64.0,5.575949103146316,Mr,1,1,6,S
440,0,male,31.0,2.4423470353692043,Mr,2,0,1,S
441,1,female,45.0,3.305053521109253,Mrs,2,0,3,S
442,0,male,20.0,2.3513752571634776,Mr,3,0,1,S
443,0,male,25.0,2.1719067693519296,Mr,3,0,2,S
444,1,female,28.0,2.6390573296152584,Miss,2,0,1,S
445,1,male,25.0,2.2096470973347766,Mr,3,0,1,S
446,1,male,4.0,4.417131919904876,Master,1,1,3,S
447,1,female,13.0,3.0204248861443626,Miss,2,0,2,S
448,1,male,34.0,3.3160025355989236,Mr,1,0,1,S
449,1,female,5.0,3.0085645861193133,Miss,3,0,4,C
450,1,male,52.0,3.449987545831587,Rare,1,1,1,S
451,0,male,36.0,3.3586377672433594,Mr,2,0,4,S
452,0,male,25.0,3.0429354648621407,Mr,3,0,2,S
453,0,male,30.0,3.3586377672433594,Mr,1,1,1,C
